,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,DW11,DW12,DW13,DW14,DW15,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15
k__Eukaryota|p__Metazoa|c__Nematoda|o__Chromadorea|f__Chromadorea_X|g__Rhabdias,6.26E-05,0.000117,0.00010968,9.79E-05,0.000343251,0.0001241,0.000731052,0.000807752,0.00078222,0.000654622,0.000607536,0.000933188,0.000609853,0.000983712,0.000990498,0.000585096,0.000509219,0.000685399,0.000970399,0.000578937,0.00054454,0.000308909,0.000496908,0.001137577,5.42E-05,0.00063082,0.000827414,0.000346213,0.000387858,0.000302761,0.000802552,0.000583517,0.0001283,0.000761228,0.000568159,0.000853477,0.00058498,0.000960707,0.000239196,0.000647417,0.000425908,0.000732983,0.000537551,0.000356676,0.0008769,0.000558,0.00076087,0.001636526,0.000682815,0.00023514,0.000654547,0.000421064,0.00016945,0.000457887,0.000311588,0.00028197,0.00078392,0.0001878,0.000681305,0.000522634
k__Eukaryota|p__Ciliophora|c__Spirotrichea|o__Hypotrichia|f__Hypotrichia_X|g__Hypotrichia_XX,0.001451946,0.001778175,0.00202365,0.001279888,0.002881395,0.000696613,0.000242491,0.000213675,0.000375817,0.000199831,0.00017653,0.000170025,0.000225161,0.000278824,0.000276971,0.000165473,0.000273288,0.000230697,0.000182275,7.63E-05,0.000171214,0.0001487,0.000150969,0.000241783,6.84E-05,8.90E-05,0.00012,0.000147937,0.000231247,0.000229709,0.000247453,0.000192844,0.000168052,0.000191762,0.000190989,0.00017977,2.98E-05,0.000152721,7.82E-05,0.000218871,0.000146248,0.000309016,0.000124476,7.07E-05,6.45E-05,1.20E-05,6.79E-05,6.60E-05,0.000149569,0.000303105,0.000107181,6.21E-05,0.000112224,0.000136947,7.71E-05,6.49E-05,2.39E-05,0.000142731,1.86E-05,6.84E-05
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__NS5 marine group,2.00E-05,9.28E-06,5.93E-06,3.19E-05,9.11E-06,0,7.00E-06,5.05E-05,9.56E-05,0,4.57E-05,1.59E-05,2.05E-05,0,8.62E-05,1.82E-05,4.14E-05,2.67E-05,2.26E-05,1.42E-05,2.72E-05,0,2.62E-05,2.98E-05,2.60E-05,0,1.90E-05,0,0,3.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Volvox carteri f. nagariensis|g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006999538,0.005663923,0.002305847,0.001973489,0.002932652,0.001074062,0.000774777,0.001380564,0.000967708,0.000448607,0.000489882,0.00056642,0.0002645,0.00017633,0.00031278,0.0009953,0.000873291,0.000881519,0.001268082,0.001061921,0.001143058,0.000660732,0.000706205,0.000579169,0.00031378,0.000278169,0.0001811,1.51E-05,0.000141292,9.76E-05
k__Bacteria|p__Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Sva0081 sediment group,0.0002321,0.000263398,0.00020378,0.00109618,0.000969526,0.001398027,0.000657277,0.000628098,0.000542784,0.001365436,0.000559195,0.000613243,0.000814394,0.000869155,0.000821241,3.00E-05,4.83E-05,8.00E-05,0.00012378,1.33E-05,0.00015227,4.06E-05,6.91E-05,0,6.62E-05,5.46E-05,1.64E-05,5.33E-05,2.69E-05,0.0001151,0.00041849,0.000377099,0.000299917,0.000255584,0.000250745,0.000513362,0.000324192,0.000532975,0.000600962,0.000281016,0.000321083,0.000238611,0.000238534,0.000261799,0.0001072,0.000204757,0.000189351,0.00015544,0.000237571,0.000244899,0.000247419,0.0001077,0.00030311,0.00014307,0.0001776,9.99E-05,7.91E-05,0.0002255,0.0001492,0.000335473
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Coccomyxa sp. LA000219|g__,0.00019806,0.0003063,0.0002175,0.000249544,0.00024117,0.000329876,0.00017927,0.000311346,0.00018784,0.0001748,7.64E-05,0.00015497,0.0002253,0.0002159,0.00039842,0.000406881,0.000287348,0.00025739,0.000260321,0.000447403,0.000340808,0.000517419,0.000329699,0.0003569,0.00089745,0.000688012,0.000377116,0.000597728,0.000582814,0.000494401,0.00047048,0.00059383,0.0002705,0.000399184,0.000573145,0.000556982,0.000266061,0.000408684,0.000434328,0.000421287,0.000269885,0.000358755,0.0001783,0.0001678,0.00016504,0.000393568,0.000584291,0.000414343,0.000432802,0.000731983,0.000350946,0.000500266,0.000413699,0.000669419,0.000397495,0.0003511,0.0001782,0.0002198,0.00016555,0.00012981
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__Heterosigma akashiwo,0.001212474,0.001587885,0.000829608,0.000467147,0.00052649,0.00013605,0.000646903,0.000437086,0.00102787,0.000275699,0.000579794,0.000710326,0.000899833,0.000785553,0.001090629,0.002534478,0.001950072,0.00203978,0.001482178,0.001715036,0.001132723,0.000989942,0.000913373,0.001056064,0.001723508,0.001873358,0.001416721,0.000688948,0.000336659,0.000471951,2.72E-05,5.55E-05,2.72E-05,2.54E-05,2.15E-05,2.53E-05,0.000113479,0.00010693,7.08E-05,0.000120742,0.0001457,0.000204007,0.000689243,0.000283539,0.000330542,2.56E-05,2.11E-05,0,0,3.13E-05,2.67E-06,1.12E-05,2.89E-06,0,1.07E-05,4.84E-05,4.80E-05,5.18E-05,4.37E-05,7.59E-05
k__Bacteria|p__Bdellovibrionota|c__Oligoflexia|o__Silvanigrellales|f__Silvanigrellaceae|g__,0.000651473,0.000712337,0.000495948,0.000940938,0.001017329,0.000891196,0.000668274,0.000734945,0.000646932,0.000821041,0.000542074,0.000492079,0.000543907,0.00040492,0.000617228,0.000315898,0.00031389,0.000433505,0.000289511,0.000336266,0.000361502,0.000864981,0.001006494,0.000658917,0.000924918,0.000780237,0.00060836,0.000484553,0.000493633,0.00081673,0.0001933,0.000254515,0.000278987,0.000469774,0.000352057,0.000378739,0.000175201,0.000536762,0.00055114,0.000331036,0.000339897,0.000196678,6.82E-05,0.000184253,0.0001359,0.000698627,0.000506407,0.000504239,0.000578961,0.000649908,0.000326592,0.000751055,0.000795064,0.00080451,0.000152963,0.000385839,0.000161191,0.000197602,9.50E-05,0.000197161
k__Eukaryota|p__Euglenozoa|c__Euglenida|o__Euglenophyceae|f__Euglenaceae|g__Euglena,7.83E-05,7.94E-05,0.000182509,0.000127,9.76E-05,0.000182,0.0001226,9.02E-05,4.75E-05,0.0001575,0.0001702,6.90E-05,0.0001029,9.21E-05,0.00013869,3.65E-05,3.67E-05,2.65E-05,2.12E-05,1.82E-05,2.38E-05,3.09E-05,5.65E-06,2.78E-05,2.46E-05,1.19E-05,3.67E-05,0,3.95E-06,9.22E-06,0.00032793,0.000566726,0.00033704,0.00093184,0.000522231,0.000495191,0.000391411,0.000279132,0.000366899,0.000803806,0.001281967,0.000758215,0.000618959,0.000533564,0.00079857,5.28E-05,7.23E-05,1.01E-05,0.00039581,0.000413239,0.000342011,5.92E-05,0.00012906,8.95E-05,0.000731345,0.00030427,0.0004354,0.00011927,0.00012412,4.16E-05
k__Eukaryota|p__Cryptophyta|c__Cryptophyceae|o__Goniomonadales|f__Goniomonadales_X|g__Goniomonas,0.001116533,0.001083417,0.001029806,0.000916867,0.000774496,0.000980448,0.000940305,0.000705361,0.000605399,0.00034967,0.000414828,0.000314239,0.00033838,0.0003021,0.00034796,0.000703291,0.000483158,0.000767,0.000672157,0.000488295,0.000833605,0.000558082,0.000745896,0.001526682,0.000917188,0.001513635,0.001387502,0.000325079,0.00028687,0.000274746,0.000150215,0.000152508,0.00018074,0.002178602,0.001933662,0.001440765,0.001556239,0.000333594,0.000407955,7.82E-05,7.11E-05,0.00010027,5.13E-05,2.17E-05,0.00013403,0.00021585,0.00011458,0.00010456,0.000141779,0.000189866,0.000243189,0.0001299,8.89E-05,0.0001008,0.00030663,0.00029291,0.000376311,0.00015356,0.00013792,0.00018411
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__SZB7|f__|g__,0.000812252,0.00109493,0.000922192,0.002935202,0.002600123,0.002833286,0.001879825,0.002020581,0.001391614,0.003065719,0.00162113,0.002060989,0.00163407,0.001539151,0.001848757,0.000234129,0.000124721,0.000154485,0.000297135,0.0001127,0.000199208,0.0001428,0.0001206,0.000169794,0.000173955,0.000205812,0.000123376,0.000165485,0.000169441,0.000153222,0.000105816,0.000170366,0.000161499,0.000204405,0.000260466,0.000215496,0.000146364,0.000195713,0.000165142,0.000274645,0.000208258,0.000280597,0.000140564,0.000236435,0.000169948,5.16E-05,9.56E-05,4.65E-05,3.67E-05,0.00014021,6.45E-05,6.25E-05,8.92E-05,8.58E-05,0.000149502,0.000146314,5.70E-05,0.000252516,0.000191377,0.000462032
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__,0.0001032,0.000147455,0.00010053,0.000309326,0.000309344,0.000218614,0.000330307,0.000332855,0.0002948,0.000756117,0.000638369,0.00051091,0.0006756,0.000499623,0.000472756,0.0001259,0.0001374,0.0001291,7.08E-05,0.000258201,0.00017451,0.0001307,0.0001552,0.000188869,0.00017023,0.000121601,0.000168564,4.37E-05,4.57E-05,0.000195343,0.000274273,0.000421434,0.000295335,0.001023291,0.000907919,0.001558423,0.001236654,0.001480664,0.001331525,0.001000405,0.00107914,0.001201281,0.000915094,0.000647233,0.000809805,0.000192152,0.000290229,0.000444725,0.000368276,0.000310043,0.000496185,0.000250048,0.000264801,0.000410339,0.00053101,0.00043189,0.000662906,0.000440897,0.000430597,0.000461758
k__Bacteria|p__Myxococcota|c__Polyangia|o__Nannocystales|f__Nannocystaceae|g__Nannocystis,0.00022556,0.000282,0.0001821,0.000718348,0.000546344,0.0004035,0.002688756,0.001975659,0.001901245,0.004098973,0.003525796,0.003536612,0.004930248,0.00524387,0.003921956,6.37E-05,6.32E-05,1.57E-05,2.12E-05,7.04E-05,2.00E-05,2.08E-05,1.53E-05,9.50E-06,1.87E-05,1.24E-05,3.65E-05,3.15E-05,1.76E-05,6.76E-06,7.40E-06,0,3.03E-06,0,0,3.23E-05,9.01E-06,0,0,0,0,1.29E-05,0,0,0,0,3.27E-05,0,0,1.46E-05,0,0,0,0,4.21E-05,2.60E-05,2.98E-05,0,6.62E-06,3.87E-05
k__Eukaryota|p__Ochrophyta|c__Bacillariophyta|o__Bacillariophyta_X|f__Araphid-pennate|g__Ulnaria,4.29E-05,3.34E-05,6.45E-05,1.91E-05,5.15E-05,0.0001189,0.000249911,0.00012041,0.0001302,5.90E-05,9.56E-05,5.51E-05,5.83E-05,0.00015453,8.08E-05,5.69E-05,2.43E-05,0.000151044,1.17E-05,0.000114237,0.000121103,4.31E-05,2.55E-05,0.000114189,1.99E-05,3.31E-05,0.0001036,8.29E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Verrucomicrobiota|c__Chlamydiae|o__Chlamydiales|f__cvE6|g__,0.000847482,0.000967211,0.000574577,0.001339638,0.001156645,0.001569109,0.000685969,0.000556495,0.000685356,0.000563689,0.000350667,0.0004918,0.0002929,0.000388573,0.000419297,0.000862582,0.000807069,0.000860288,0.000683218,0.000724724,0.000959712,0.00045926,0.000641484,0.000397768,0.000639247,0.000697255,0.000538283,0.000312552,0.000555921,0.000540025,0.000327325,0.000501124,0.00016316,0.000460065,0.0002687,0.000365396,0.000300901,0.000558619,0.000622266,0.000562251,0.000376099,0.0002653,0.000468903,0.000373693,0.000390222,0.000285591,0.000312174,0.0001866,8.65E-05,0.00014808,0.0001793,0.00024198,0.0001477,0.000311233,0.00016114,0.00028392,0.00023383,0.0002887,0.000477819,0.00020713
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Leptothrix,0.0004809,0.000490376,0.000579797,0.000224918,0.000254838,0.000246033,0.000260108,0.000148276,0.000216485,0.000311234,0.000241566,0.000375669,0.000337059,0.000276222,0.000915347,0.000177134,0.000117634,0.000198201,0.00029452,0.000261476,0.000415396,0.000310411,0.000483258,0.000327649,0.000328083,0.000238963,0.000226844,0.000258794,0.000286399,0.000218827,0.0001331,0.0001079,0.00028077,3.57E-05,3.55E-05,3.06E-05,5.44E-05,5.40E-05,0.0001215,0.0001053,7.36E-05,8.33E-05,4.04E-05,8.65E-05,4.88E-05,0.00020776,0.000213554,0.000266394,0.000388303,0.000328203,0.000325758,0.000331499,0.000285245,0.000233968,0.00028663,0.000243105,0.000221648,0.0001493,8.49E-05,0.000192277
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__SM2D12|g__,9.66E-05,0.00011528,6.57E-05,0.00017947,9.65E-05,0.00014831,0.000249021,0.000383053,0.000326918,0.000818713,0.000449808,0.000640725,0.000567912,0.000357011,0.000358982,3.11E-05,9.88E-05,0.00011866,7.96E-05,0.00016356,0.00011392,0.0001294,6.85E-05,8.08E-05,8.19E-05,8.80E-05,0.00011293,8.79E-05,0.00013914,6.05E-05,0.00072211,0.000437642,0.000768903,0.000715814,0.000865551,0.000632436,0.000685212,0.000480465,0.00057077,0.001234628,0.001148085,0.001208206,0.001121315,0.00185987,0.00135819,0.000519699,0.000356473,0.000278337,0.000640648,0.000379873,0.00048668,0.000344095,0.000399366,0.000407416,0.001213457,0.001078581,0.001277214,0.001274908,0.001469671,0.001136163
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae|g__WCHB1-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000633594,0.000492667,0.000402582,0.000661713,0.000591341,0.000978621,0.001102768,0.000896556,0.001049095,0.001778285,0.001614681,0.001461952,0.000918732,0.001567712,0.00061148,0.000553775,0.000605689,0.000868545,0.000829193,0.000834693,0.00082312,0.000601071,0.000696186,0.000651669,0.001592176,0.001417266,0.001370211,0.001081646,0.000644474,0.000729651
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__|g__,0.00018171,0.0001392,0.00023055,0.00031624,0.0002382,0.000259241,0.0002214,0.000437285,0.000528336,0.000474461,0.000351629,0.000439114,0.000467353,0.000515883,0.00049548,0.000334165,0.000206659,6.61E-05,0.000326718,0.0001725,0.00027867,0.000350375,0.000235299,8.70E-05,0.00054792,0.000278801,0.000440383,0.0002901,0.0001373,0.000179184,0.000361211,0.0001606,0.00023638,0.000618511,0.000517259,0.000607949,0.000292299,0.000844863,0.000703334,0.000475158,0.000472075,0.000613792,0.0001749,0.000239899,0.000315636,0.000870565,0.001106538,0.00084031,0.000847888,0.001015373,0.000957837,0.000642224,0.000653506,0.000672237,0.000425971,0.000329048,0.0003076,0.0002676,0.000522355,0.0003203
k__Bacteria|p__Cyanobacteria|c__Vampirivibrionia|o__Vampirovibrionales|f__|g__,0.000904695,0.000975021,0.000625354,0.00037142,0.000278692,0.000463393,0.000374644,0.000320305,0.000358545,0.000454607,0.000317881,0.000328711,0.000540949,0.000665145,0.000556635,0.001737776,0.001675806,0.001484967,0.001856358,0.001870051,0.001970711,0.001879972,0.002020121,0.001678895,0.001508969,0.001559624,0.001544062,0.001818268,0.001380096,0.002006299,5.82E-06,3.80E-05,5.41E-05,3.55E-05,3.17E-05,5.15E-05,7.03E-05,0.0001351,2.51E-05,2.61E-05,9.55E-05,0.000197162,0.000189545,8.77E-05,0.0001426,2.06E-05,1.14E-05,2.13E-05,4.52E-05,0.000110825,4.89E-05,4.56E-05,4.10E-05,2.57E-05,1.59E-05,3.63E-05,3.08E-05,8.43E-05,3.20E-05,3.94E-06
k__Eukaryota|p__Metazoa|c__Rotifera|o__Rotifera_X|f__Rotifera_XX|g__Rotifera_XXX,0.000286272,0.000406582,0.000429273,0.000413854,0.0001325,0.000242968,0.001738524,0.00118443,0.001695637,0.000763191,0.000364831,0.000378234,0.000355791,0.00021834,0.000368856,0.00136568,0.001215046,0.001161577,0.001410825,0.001089809,0.001434137,0.000967393,0.001070641,0.001647612,0.000403545,0.00115808,0.001106228,0.001474306,0.001337224,0.001061261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__SJA-15|f__|g__,0.0002474,0.00010788,0.00016493,0.001248542,0.00130064,0.001601644,0.000503998,0.000463425,0.0006741,0.000624224,0.000488709,0.000579532,0.000834755,0.000800502,0.000751193,7.89E-05,6.81E-05,1.28E-05,4.92E-05,3.96E-05,6.15E-05,3.30E-05,2.73E-05,5.58E-06,9.61E-05,5.03E-06,0,2.48E-05,5.80E-05,8.99E-05,0.000336014,0.000321953,0.00013306,0.000333131,0.000324757,0.000267248,0.000381213,0.00038916,0.000521761,0.0002313,0.00020773,0.000237,5.96E-05,7.31E-05,0.0001136,0.00013672,0.000220501,0.000350306,0.00031268,0.000536325,0.000267423,0.000267058,0.000242,0.00023615,0.000174545,0.000226988,0.0001511,0.000490858,0.000266848,0.000438427
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__alphaI cluster,0.00020011,0.000261281,0.0002201,0.000431466,0.000565881,0.00070041,0.000509868,0.000474456,0.0004937,0.001066749,0.000457878,0.000523561,0.000678498,0.000617189,0.000544835,0.00020838,0.000243985,0.0001847,0.000299665,0.0001466,0.000271278,0.000299324,0.000212499,0.0001822,0.00030057,0.000281901,0.0001411,0.000240606,0.000363232,0.00035287,0.000258723,0.000239083,0.0001134,0.000548779,0.000354392,0.000381056,0.000485247,0.000327172,0.000379876,0.00027495,0.000381811,0.000330237,0.00038882,0.000235159,0.0001795,0.000483438,0.000964566,0.000808004,0.000716676,0.001104612,0.00077967,0.000871438,0.000800184,0.000394812,0.000423815,0.000216652,0.000433102,0.000333146,0.000337813,0.000224472
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Durinskia baltica|g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Desulfobacterota|c__Desulfuromonadia|o__Geobacterales|f__Geobacteraceae|g__Geobacter,3.46E-05,1.45E-05,2.71E-05,0.000182362,0.000132667,0.000196786,0.000125768,0.000119816,0.000187379,9.99E-05,0.000180277,0.000195417,0.000105449,0.000139588,5.42E-05,8.90E-06,8.12E-05,9.05E-06,0,5.41E-06,2.29E-05,0,1.10E-05,0,1.91E-05,4.43E-06,0,5.06E-05,0,0,0.000179712,0.000320663,0.000208782,0.000487776,0.000468458,0.000450299,0.000411269,0.000833607,0.000623045,0.000840563,0.000579982,0.000637797,0.000724055,0.000644622,0.000747416,0.000446766,0.000129301,0.000187494,0.000131,0.0001266,0.000348342,0.000169099,0.000353027,0.000245034,0.000268686,0.000244677,0.000224473,0.000443586,0.000791646,0.000569974
k__Eukaryota|p__Metazoa|c__Rotifera|o__Rotifera_X|f__Rotifera_XX|g__Sinantherina,0.000355355,0.000385433,0.0003802,0.0003002,0.0001675,0.00020423,0.000587163,0.00057044,0.00054807,0.001019954,0.000323623,0.000877354,0.000960298,0.001060071,0.000863521,0.002023666,0.002245501,0.002210709,0.002109138,0.001369252,0.001148804,0.000709138,0.001105957,0.001557742,0.001117714,0.001050576,0.001361098,0.00188433,0.002055554,0.001565937,8.45E-06,0,3.91E-05,2.41E-05,5.94E-06,0,1.22E-05,0,5.55E-06,2.01E-05,0.00011368,1.18E-05,4.25E-05,0,2.37E-05,0.000179348,0.00038069,0.000290933,2.79E-05,0.000102444,0.000250165,0.00022977,6.59E-05,0.00012603,0.000158991,2.33E-05,0.000192213,5.95E-05,1.76E-05,2.41E-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__FukuN57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001114,0.0001053,7.72E-05,0.000148973,9.95E-05,0.0001018,0.0001612,0.0001108,0.000334427,0.00011724,0.000230011,0.0001348,0.000112,4.88E-05,6.06E-05,0.000601475,0.000956793,0.000708688,0.000964594,0.000660678,0.000569002,0.001010209,0.000885656,0.000860119,0.000630818,0.000690088,0.000468521,0.000278959,0.000373384,0.000233374
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Candidatus Aquirestis,0.000542728,0.000291301,0.000363879,0.000289096,0.00045314,0.000248708,0.000329351,0.000376278,0.000298328,0.000428147,0.000236497,0.000362528,0.000278509,0.000267236,0.000298375,0.000837938,0.000644449,0.000773055,0.001060299,0.000996268,0.001124708,0.000658201,0.000563572,0.000938254,0.000368949,0.000452764,0.000659263,0.000354649,0.000570072,0.000295307,0.000403053,0.000372241,0.000273718,0.001051953,0.000549218,0.000901784,0.00035828,0.000705645,0.000552767,0.000459445,0.000568096,0.000489604,0.000429799,0.000399515,0.000412667,0.000607456,0.000594926,0.000480319,0.000692244,0.000441142,0.000558069,0.00047157,0.000337537,0.000412578,0.0009895,0.001082313,0.001067038,0.00048898,0.000744922,0.000651575
k__Bacteria|p__Fibrobacterota|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__,8.55E-05,9.60E-05,6.35E-06,1.13E-05,5.16E-05,2.08E-05,3.68E-05,1.92E-05,4.38E-05,1.54E-05,0,1.72E-05,4.32E-05,4.32E-05,5.82E-05,9.73E-05,8.40E-05,0.0001054,0.000120138,0.0001157,6.03E-05,9.27E-05,0.0001031,5.26E-05,6.97E-05,8.24E-05,6.94E-05,0.0001167,0.0001103,7.22E-05,0.00012561,0.00010995,8.67E-05,0.0001012,0.010884326,0.001053141,0.011804917,0.000413044,0.000613538,0.00020579,0.0001205,0.00020745,0.00014748,0.002185388,0.00015141,0.000133314,0.000120871,0.000132138,0.000222298,0.0001094,0.000208493,0.000225383,0.000213489,0.000156759,0.0001207,0.000207559,0.000214013,0.000270558,0.00017039,0.00014786
k__Eukaryota|p__Metazoa|c__Rotifera|o__Rotifera_X|f__Rotifera_XX|g__Brachionus,0.00015453,0.000225605,0.0001295,0.0001977,7.42E-05,0.00013144,0.000633326,0.000583006,0.0008968,0.00016872,0.0001132,0.0001121,0.000184944,4.40E-05,0.000236813,0.000680632,0.001092889,0.001074029,0.000619818,0.000568509,0.000518082,0.000273866,0.000571121,0.000591855,0.0002125,0.000532883,0.000489382,0.000402582,0.000893879,0.000588369,0.000136306,3.71E-05,9.25E-05,1.24E-05,9.42E-05,6.94E-05,0.000106501,1.14E-05,6.28E-05,8.26E-05,0.000138364,9.26E-05,4.22E-05,6.65E-05,7.91E-05,0.00056955,0.000499823,0.000549713,0.000239015,0.000294274,0.0003443,0.000542399,0.000325821,0.00055692,0.00037663,0.000329509,0.000565371,9.46E-05,6.58E-05,0.000232005
k__Eukaryota|p__Metazoa|c__Rotifera|o__Rotifera_X|f__Rotifera_XX|g__Monostyla,0.000209419,0.0002029,0.000379216,0.000212293,0.00022303,7.84E-05,0.00057616,0.000445007,0.000526706,0.000518244,0.000290689,0.000304194,0.000265936,0.000351487,0.000414931,0.001090768,0.000997748,0.00117668,0.001324235,0.0005456,0.001326543,0.000722959,0.000745071,0.00128958,9.92E-05,0.000818193,0.001020646,0.000953116,0.000859998,0.000754323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JG36-TzT-191|f__|g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000450028,0.000356839,0.000445875,0.000570713,0.000388585,0.000573706,0.000420808,0.000539153,0.000868154,0.000527269,0.000472366,0.000537367,0.000573737,0.000614567,0.000574809,0.002330676,0.002584498,0.002556818,0.001898172,0.002004093,0.001928209,0.002052723,0.002615129,0.002045782,0.001020686,0.000838667,0.000760491,0.000930643,0.001114824,0.001229491
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Ahniella,0.00060982,0.000852088,0.000928432,0.001148714,0.001206065,0.001222195,0.001028351,0.001150691,0.000988895,0.001865782,0.001286439,0.001327367,0.00133616,0.001305643,0.000987961,0.000156393,0.000189443,0.000102887,0.00012604,0.0001579,0.000158277,0.000141169,0.0001273,8.03E-05,0.000175099,6.94E-05,0.00011688,0.000146556,0.000405811,5.40E-05,7.28E-05,7.98E-05,7.18E-05,0.000187697,0.00013784,0.000263251,0.0004974,0.000478935,0.000598505,0.000327508,0.000178457,0.000406944,0.000265547,0.000280788,0.000306673,1.28E-05,1.08E-05,3.56E-05,0.000133,4.55E-05,9.94E-05,6.83E-05,3.68E-05,7.03E-05,0.0001924,2.84E-05,0.0001229,0.000143746,0.0001038,0.000188934
k__Bacteria|p__Desulfobacterota|c__|o__|f__|g__,0.0001927,0.00026756,0.000225544,0.001028206,0.000769681,0.000920305,0.001684213,0.001094024,0.001049881,0.001855663,0.001342844,0.001390782,0.001263642,0.001208231,0.001410706,9.53E-05,4.53E-05,7.94E-05,7.93E-05,8.19E-05,4.63E-05,9.44E-05,0.00010473,8.01E-05,4.15E-05,7.53E-05,0.00011149,3.39E-05,7.75E-05,5.25E-05,7.32E-05,3.36E-05,5.42E-05,0.000252587,0.0001442,0.000230979,0.000436369,0.000513721,0.000421347,0.000352263,0.000234312,0.000209247,0.0001934,0.0001101,0.00013057,6.59E-05,5.43E-05,8.26E-05,5.91E-06,4.71E-05,0.0001592,3.51E-05,4.81E-05,1.03E-05,8.18E-05,6.96E-05,1.67E-05,2.77E-05,8.72E-05,9.28E-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Devosiaceae|g__Devosia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000320825,0.000220871,0.000243373,0.000188438,0.00021779,0.000127547,0.000255997,0.000286228,0.000175117,0.000273593,0.000526914,0.000374938,0.000510154,0.000347101,0.000319082,0.000648212,0.000407009,0.000617354,0.000523657,0.000432575,0.000366666,0.000365431,0.000466947,0.000787151,0.000538994,0.000474339,0.000390671,0.000592255,0.000555119,0.000397925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia,8.54E-05,0.000117596,0.000211548,0.000176448,0.000289254,0.000345601,0.000184162,0.000112496,0.000150687,0.000140387,0.000108124,0.0001279,9.12E-05,1.02E-05,6.44E-05,2.72E-05,6.59E-05,4.41E-05,7.06E-05,0.000100714,5.51E-05,2.14E-05,6.25E-05,7.96E-05,0,8.73E-05,6.77E-05,3.90E-05,2.25E-05,2.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
