,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,DW11,DW12,DW13,DW14,DW15,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Leptolyngbyales|f__Leptolyngbyaceae|g__Leptolyngbya VRUC 135,0.002857926,0.002475538,0.002191312,0.00126693,0.001343284,0.001457064,0.001242202,0.001186734,0.00126704,0.001632134,0.002032594,0.001522607,0.002272876,0.001856734,0.002364281,0.002689816,0.002671103,0.00228247,0.001930999,0.002290639,0.001695038,0.002142602,0.002228197,0.001852759,0.002354854,0.001889421,0.002455937,0.00212335,0.002242005,0.001782592,0.003135039,0.003076817,0.001777218,0.002327982,0.002270787,0.002233065,0.001331431,0.001933063,0.00197577,0.001600528,0.001068207,0.001453766,0.000808275,0.000710772,0.000744694,0.001576583,0.001325487,0.001386137,0.001644377,0.001709771,0.001255629,0.001045859,0.001163154,0.00092625,0.00040364,0.000651692,0.000611851,0.00037731,0.00035563,0.000460666
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__,0.01205465,0.013079345,0.015536189,0.008535658,0.007530276,0.007677245,0.00688568,0.006542245,0.006944778,0.006858618,0.005240422,0.005803546,0.004820954,0.005270585,0.00854263,0.006508076,0.00627027,0.00698838,0.006701635,0.006737913,0.007427519,0.005927197,0.005994123,0.006353358,0.005810926,0.00532328,0.005058452,0.005669584,0.005790919,0.006148425,0.010799303,0.008942907,0.017193961,0.010809143,0.014092272,0.014348489,0.021027737,0.008068874,0.010467796,0.017408203,0.018817032,0.015175053,0.019013407,0.019093588,0.022073837,0.006225331,0.007011473,0.006836377,0.008336262,0.007402499,0.0069153,0.015405572,0.014822046,0.015352917,0.026858205,0.024694973,0.02367283,0.032170023,0.030865759,0.031093153
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__,0.016094853,0.015282028,0.016121429,0.01107836,0.011901377,0.010614926,0.013759398,0.01316378,0.01587337,0.008959788,0.016370615,0.012779475,0.012612769,0.014101511,0.015605324,0.016826512,0.016580118,0.015000482,0.014833739,0.017282674,0.01525418,0.017554738,0.015933812,0.015010467,0.018657707,0.019956046,0.017147932,0.015267497,0.014772507,0.014733503,0.009323454,0.012744777,0.010642251,0.007883877,0.009335626,0.008746944,0.006397474,0.008801804,0.0073501,0.007267413,0.008583259,0.007358343,0.00764641,0.005698165,0.008888782,0.006257748,0.006193174,0.006853262,0.005079418,0.005307605,0.004998422,0.006269972,0.00620351,0.006835186,0.008198675,0.008330577,0.008220959,0.004871705,0.004813151,0.004369846
k__Eukaryota|p__Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae|g__Giardia,0.006927795,0.008387725,0.007851341,0.006795934,0.006309849,0.007412098,0.013061608,0.013099357,0.014527766,0.011227601,0.011325986,0.013416776,0.01283963,0.01283813,0.011657236,0.008561705,0.006288322,0.006969712,0.006278455,0.005658131,0.006219638,0.003941148,0.005144616,0.008075355,0.003395661,0.005344291,0.007466846,0.003604891,0.003577799,0.003721219,0.01812218,0.0210112,0.013096484,0.016120655,0.012606256,0.015396751,0.010855377,0.013901679,0.010348045,0.012544676,0.01391653,0.010064114,0.010279566,0.008112465,0.009831143,0.008136485,0.009405515,0.010748637,0.011900914,0.011241439,0.012275738,0.006645906,0.007478626,0.007587228,0.010556827,0.011147577,0.014153265,0.0071032,0.006340116,0.006439735
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Synechococcales|f__Prochlorotrichaceae|g__Prochlorothrix PCC-9006,0.017379416,0.014233449,0.008499803,0.006940348,0.007589736,0.006658279,0.004688466,0.005578527,0.005517113,0.0045488,0.006530648,0.005276852,0.009888354,0.013137419,0.010355121,0.017560615,0.020392871,0.017944299,0.018316654,0.018625973,0.020351533,0.034803262,0.029576057,0.020473735,0.037019678,0.029815235,0.028725559,0.044323383,0.044320693,0.044645213,0.000143426,0.000170765,8.73E-05,0.0001118,0.0001167,7.57E-05,0.000320342,0.000405403,0.000515931,0.0001674,9.99E-05,0.0001763,0.00014375,0.000185399,0.000139,0.000184021,0.000138401,6.40E-05,0.00025502,0.000101,0.000244771,0.000385901,0.00083378,0.000451718,0.000580246,0.0006305,0.000476809,0.00065383,0.000308202,0.000288306
k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__,0.004397942,0.003164633,0.004211954,0.010625447,0.009303295,0.009681708,0.009297816,0.011318818,0.007310632,0.017730944,0.006762073,0.00933493,0.012773371,0.008100092,0.010526509,0.008495044,0.006966507,0.007563898,0.007517592,0.00705153,0.006890384,0.006750734,0.006760299,0.006641515,0.007671357,0.007097032,0.00513222,0.003220277,0.003779524,0.004994382,0.003480602,0.004766273,0.005265557,0.007834481,0.005942202,0.005554022,0.005676109,0.007615806,0.008715988,0.011623991,0.006700386,0.005811108,0.007411358,0.005178586,0.00679877,0.008756673,0.0126967,0.009939171,0.008530408,0.010796274,0.013454977,0.008206892,0.009504721,0.009770873,0.004859748,0.00513407,0.00556565,0.006193407,0.006514326,0.005054406
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Sporomusaceae|g__Anaerospora,0.011836656,0.010413645,0.007955831,0.004652396,0.007477271,0.004113129,0.001486655,0.001692879,0.002309857,0.000454499,0.001503762,0.001406089,0.002330232,0.003393871,0.002796939,0.018308211,0.032696912,0.024464362,0.030046872,0.034734341,0.03071527,0.03965959,0.041971088,0.028919734,0.02339618,0.034025,0.031307174,0.031344226,0.037905993,0.032853776,7.30E-05,0.000171359,3.48E-05,3.66E-05,2.39E-05,1.06E-05,8.02E-05,8.00E-05,6.04E-05,0.000214799,0.000284731,0.000260596,0.00032809,0.000230576,0.000207899,1.13E-05,3.22E-05,3.73E-05,7.31E-05,8.13E-06,4.93E-05,5.94E-05,8.76E-05,0.000176,0.000209961,0.000174514,0.000323577,0.0001045,9.58E-05,0.0001539
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Microcystaceae|g__Synechocystis PCC-6803,0.001349392,0.001367366,0.001211356,0.000728016,0.000749763,0.000413517,0.000282201,0.000286195,0.000298791,0.00018641,0.000296531,0.000251699,0.000344825,0.000247205,0.000299034,0.001313501,0.001741362,0.001540816,0.001438634,0.001472488,0.001581542,0.001609875,0.001671865,0.001584173,0.001590637,0.001267546,0.001336244,0.001865507,0.001393301,0.001421404,0.000584491,0.000488354,0.000388764,0.000740108,0.000368584,0.000639674,0.000161447,0.000294409,0.000271454,0.000513361,0.0001479,0.000300876,7.45E-05,6.21E-05,7.15E-05,0.000524016,0.000628059,0.000544466,0.000596105,0.000549111,0.000610873,0.00042053,0.000470651,0.00043837,3.84E-05,4.48E-05,3.53E-05,0.000150523,5.21E-05,7.40E-06
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae|g__Neisseria,0.001294782,0.001676884,0.001737616,0.001430691,0.001381247,0.001103156,0.00100275,0.000927832,0.000709622,0.001019325,0.000951555,0.000837032,0.000795324,0.001012827,0.00080188,0.000324857,0.000273896,0.00020759,0.000322893,0.000512961,0.000251619,0.000257277,0.000425656,0.000349153,0.000349111,0.000278845,0.000267411,0.000386746,0.000427781,0.000291641,0.000962969,0.001153242,0.001255475,0.000790093,0.001399864,0.001072958,0.002956698,0.00131419,0.001295898,0.001581193,0.001669898,0.001942517,0.0027004,0.003868389,0.002467383,0.000574762,0.000420691,0.000551385,0.00047067,0.000957536,0.000447776,0.000987857,0.000981991,0.000885468,0.002563632,0.002029008,0.002290712,0.002671938,0.002884256,0.002164146
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__SAR11 clade|f__Clade III|g__,0.003530383,0.002664523,0.001761075,0.001004304,0.001219502,0.00098799,0.001304855,0.001452252,0.001630621,0.000313221,0.001295134,0.000978296,0.001233756,0.002440967,0.001166859,0.008532473,0.010841503,0.010134492,0.014106501,0.014621675,0.014155186,0.019492115,0.016171478,0.010464896,0.020204302,0.016327762,0.015492287,0.016983719,0.017030138,0.015943477,0.002156469,0.001938354,0.001679263,0.001067099,0.001319135,0.001756871,0.002907573,0.003205045,0.002708909,0.000872998,0.00083602,0.00099487,0.0011084,0.00108957,0.00080803,0.010645344,0.009418837,0.009508067,0.009806087,0.009051362,0.007840534,0.010621441,0.010913454,0.010851733,0.005917094,0.005608404,0.005102227,0.00632738,0.0061934,0.006520754
