,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales,LEfSe,PFU,2.492047555,6.41E-10,3.87E-08,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,LEfSe,PFU,2.48688069,0.000292126,0.001617336,**
k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Tubulinea,PFU - Water,k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Tubulinea,LEfSe,PFU,2.478929227,7.32E-07,9.71E-06,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Euglenida|o__Euglenida_X,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Euglenida|o__Euglenida_X,LEfSe,PFU,2.472269078,5.20E-11,6.36E-09,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae|g__Neisseria,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae|g__Neisseria,LEfSe,PFU,2.471740685,0.000107275,0.000673448,***
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Cylindrotheca closterium,PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Cylindrotheca closterium,LEfSe,PFU,2.47122525,1.66E-07,2.84E-06,***
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Cylindrotheca closterium|g__Cylindrotheca closterium_X sp.,PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Cylindrotheca closterium|g__Cylindrotheca closterium_X sp.,LEfSe,PFU,2.47122525,1.66E-07,2.84E-06,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Ahniella,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Ahniella,LEfSe,PFU,2.46664897,6.26E-08,1.24E-06,***
k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia,PFU - Water,k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia,LEfSe,PFU,2.465726763,1.62E-09,8.02E-08,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Pseudodendromonadales,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Pseudodendromonadales,LEfSe,Water,2.464130044,4.40E-10,2.90E-08,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Pseudodendromonadales|f__Pseudodendromonadales_X,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Pseudodendromonadales|f__Pseudodendromonadales_X,LEfSe,Water,2.464130044,4.40E-10,2.90E-08,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__Opitutus,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__Opitutus,LEfSe,Water,2.460167689,5.66E-06,5.61E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Nitrosococcales|f__Nitrosococcaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Nitrosococcales|f__Nitrosococcaceae,LEfSe,PFU,2.456528683,3.34E-09,1.35E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Platyhelminthes|o__Turbellaria|f__Catenulida,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Platyhelminthes|o__Turbellaria|f__Catenulida,LEfSe,PFU,2.45598068,2.09E-08,5.33E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Platyhelminthes|o__Turbellaria|f__Catenulida|g__Stenostomum,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Platyhelminthes|o__Turbellaria|f__Catenulida|g__Stenostomum,LEfSe,PFU,2.45598068,2.09E-08,5.33E-07,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Chytridiomycota|o__Chytridiomycotina|f__Chytridiomycetes|g__Spizellomycetales-and-Rhizophlyctidales,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Chytridiomycota|o__Chytridiomycotina|f__Chytridiomycetes|g__Spizellomycetales-and-Rhizophlyctidales,LEfSe,PFU,2.45481571,0.000410131,0.002155764,**
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Hypotrichia|f__Urostylidae,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Hypotrichia|f__Urostylidae,LEfSe,PFU,2.452669819,0.001204598,0.005219924,**
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__MAST-12,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__MAST-12,LEfSe,Water,2.451489698,7.43E-05,0.00050267,***
k__Eukaryota|p__Streptophyta|p__Eukaryota_Streptophyta|c__Embryophyceae|o__Embryophyceae_X|f__Embryophyceae_XX|g__Phaseolus,PFU - Water,k__Eukaryota|p__Streptophyta|p__Eukaryota_Streptophyta|c__Embryophyceae|o__Embryophyceae_X|f__Embryophyceae_XX|g__Phaseolus,LEfSe,Water,2.443931817,9.50E-05,0.000606589,***
k__Eukaryota|p__Streptophyta|p__Eukaryota_Streptophyta|c__Embryophyceae|o__Embryophyceae_X|f__Embryophyceae_XX|g__Phaseolus|s__Phaseolus_acutifolius,PFU - Water,k__Eukaryota|p__Streptophyta|p__Eukaryota_Streptophyta|c__Embryophyceae|o__Embryophyceae_X|f__Embryophyceae_XX|g__Phaseolus|s__Phaseolus_acutifolius,LEfSe,Water,2.443931817,9.50E-05,0.000606589,***
k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia|o__Dactylopodida,PFU - Water,k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia|o__Dactylopodida,LEfSe,PFU,2.439097966,1.53E-10,1.35E-08,***
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Cyanobacteriaceae|g__Annamia HOs24,PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Cyanobacteriaceae|g__Annamia HOs24,LEfSe,Water,2.42982111,0.000309281,0.00166626,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Porphyrobacter,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Porphyrobacter,LEfSe,PFU,2.42463564,3.96E-07,5.87E-06,***
k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Blastopirellula,PFU - Water,k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Blastopirellula,LEfSe,PFU,2.424397063,3.06E-09,1.26E-07,***
k__Eukaryota|p__Choanoflagellida,PFU - Water,k__Eukaryota|p__Choanoflagellida,LEfSe,PFU,2.424289293,0.000749369,0.003425799,**
k__Eukaryota|p__Choanoflagellida|p__Eukaryota_Choanoflagellida,PFU - Water,k__Eukaryota|p__Choanoflagellida|p__Eukaryota_Choanoflagellida,LEfSe,PFU,2.424289293,0.000749369,0.003425799,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas,LEfSe,PFU,2.421784445,0.000218931,0.001254656,**
k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__Thermodesulfovibrionia,PFU - Water,k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__Thermodesulfovibrionia,LEfSe,PFU,2.416213337,3.71E-05,0.000277095,***
k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia|o__Dactylopodida|f__Paramoebidae,PFU - Water,k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia|o__Dactylopodida|f__Paramoebidae,LEfSe,PFU,2.406645523,1.53E-10,1.35E-08,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Neobodonida|f__Rhynchomonadidae,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Neobodonida|f__Rhynchomonadidae,LEfSe,PFU,2.402163835,3.44E-06,3.60E-05,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Neobodonida|f__Rhynchomonadidae|g__Rhynchomonas,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Neobodonida|f__Rhynchomonadidae|g__Rhynchomonas,LEfSe,PFU,2.402163835,3.44E-06,3.60E-05,***
k__Bacteria|p__MBNT15,PFU - Water,k__Bacteria|p__MBNT15,LEfSe,PFU,2.397497456,1.05E-05,9.24E-05,***
k__Bacteria|p__MBNT15|p__Bacteria_MBNT15,PFU - Water,k__Bacteria|p__MBNT15|p__Bacteria_MBNT15,LEfSe,PFU,2.397497456,1.05E-05,9.24E-05,***
k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Trebouxiophyceae,PFU - Water,k__Eukaryota|p__Chlorophyta|p__Eukaryota_Chlorophyta|c__Trebouxiophyceae,LEfSe,PFU,2.39362402,0.001637839,0.00667711,**
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidetes vadinHA17,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidetes vadinHA17,LEfSe,PFU,2.389194718,5.39E-07,7.69E-06,***
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Cercomonadida,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Cercomonadida,LEfSe,PFU,2.385294785,0.000107275,0.000673448,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Cryomorphaceae,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Cryomorphaceae,LEfSe,Water,2.380198553,5.31E-08,1.10E-06,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas,LEfSe,PFU,2.372779281,0.001335591,0.00562173,**
k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia|o__Dactylopodida|f__Paramoebidae|g__Korotnevella,PFU - Water,k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia|o__Dactylopodida|f__Paramoebidae|g__Korotnevella,LEfSe,PFU,2.364813286,1.84E-10,1.53E-08,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__DEV007,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__DEV007,LEfSe,PFU,2.363515821,3.05E-09,1.26E-07,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Lentimicrobiaceae,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Lentimicrobiaceae,LEfSe,PFU,2.359275052,5.79E-05,0.000407346,***
k__Bacteria|p__Spirochaetota|p__Bacteria_Spirochaetota|c__Leptospirae|o__Leptospirales|f__Leptospiraceae|g__Leptospira,PFU - Water,k__Bacteria|p__Spirochaetota|p__Bacteria_Spirochaetota|c__Leptospirae|o__Leptospirales|f__Leptospiraceae|g__Leptospira,LEfSe,Water,2.357683522,5.31E-08,1.10E-06,***
k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__Nitrospiria,PFU - Water,k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__Nitrospiria,LEfSe,PFU,2.356306704,2.00E-09,9.48E-08,***
k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__Nitrospiria|o__Nitrospirales,PFU - Water,k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__Nitrospiria|o__Nitrospirales,LEfSe,PFU,2.356306704,2.00E-09,9.48E-08,***
k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae,PFU - Water,k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae,LEfSe,PFU,2.356306704,2.00E-09,9.48E-08,***
k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira,PFU - Water,k__Bacteria|p__Nitrospirota|p__Bacteria_Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira,LEfSe,PFU,2.356306704,2.00E-09,9.48E-08,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae|g__Nitrosomonas,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae|g__Nitrosomonas,LEfSe,PFU,2.355142526,2.89E-07,4.44E-06,***
k__Archaea|p__Euryarchaeota,PFU - Water,k__Archaea|p__Euryarchaeota,LEfSe,PFU,2.353616996,1.44E-06,1.70E-05,***
k__Archaea|p__Euryarchaeota|p__Archaea_Euryarchaeota,PFU - Water,k__Archaea|p__Euryarchaeota|p__Archaea_Euryarchaeota,LEfSe,PFU,2.353616996,1.44E-06,1.70E-05,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales|f__Peptostreptococcaceae,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales|f__Peptostreptococcaceae,LEfSe,Water,2.351565544,9.85E-06,8.73E-05,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Kinetoplastea_X|f__Kinetoplastea_XX|g__Kinetoplastea_XX_MET8,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Kinetoplastea_X|f__Kinetoplastea_XX|g__Kinetoplastea_XX_MET8,LEfSe,PFU,2.347915709,3.99E-08,8.83E-07,***
k__Bacteria|p__Fibrobacterota|p__Bacteria_Fibrobacterota|c__Chitinivibrionia,PFU - Water,k__Bacteria|p__Fibrobacterota|p__Bacteria_Fibrobacterota|c__Chitinivibrionia,LEfSe,PFU,2.344546349,0.002103893,0.008263687,**
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae,LEfSe,PFU,2.340031219,1.12E-09,6.25E-08,***
k__Bacteria|p__Fibrobacterota|p__Bacteria_Fibrobacterota|c__Chitinivibrionia|o__|f__|g__possible genus 02,PFU - Water,k__Bacteria|p__Fibrobacterota|p__Bacteria_Fibrobacterota|c__Chitinivibrionia|o__|f__|g__possible genus 02,LEfSe,PFU,2.339882267,0.002439009,0.009420433,**
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Chrysophyceae|o__Chrysophyceae_X|f__Chrysophyceae_Clade-F|g__Paraphysomonas|s__Paraphysomonas_foraminifera,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Chrysophyceae|o__Chrysophyceae_X|f__Chrysophyceae_Clade-F|g__Paraphysomonas|s__Paraphysomonas_foraminifera,LEfSe,PFU,2.339201779,1.69E-05,0.000138484,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__OLIGO4,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__OLIGO4,LEfSe,PFU,2.33475006,1.60E-09,8.02E-08,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__OLIGO4|f__OLIGO4_X,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__OLIGO4|f__OLIGO4_X,LEfSe,PFU,2.33475006,1.60E-09,8.02E-08,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__OLIGO4|f__OLIGO4_X|g__OLIGO4_XX,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__OLIGO4|f__OLIGO4_X|g__OLIGO4_XX,LEfSe,PFU,2.33475006,1.60E-09,8.02E-08,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__Terrimicrobiaceae,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__Terrimicrobiaceae,LEfSe,Water,2.334547621,2.13E-09,9.77E-08,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__Terrimicrobiaceae|g__Terrimicrobium,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__Terrimicrobiaceae|g__Terrimicrobium,LEfSe,Water,2.334547621,2.13E-09,9.77E-08,***
k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Vicinamibacteria|o__Subgroup 17,PFU - Water,k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Vicinamibacteria|o__Subgroup 17,LEfSe,PFU,2.330613739,1.67E-05,0.000137693,***
k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Aminicenantia,PFU - Water,k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Aminicenantia,LEfSe,PFU,2.329962181,3.80E-08,8.46E-07,***
k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Aminicenantia|o__Aminicenantales,PFU - Water,k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Aminicenantia|o__Aminicenantales,LEfSe,PFU,2.329962181,3.80E-08,8.46E-07,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophia,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophia,LEfSe,PFU,2.329100537,9.67E-09,2.96E-07,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophia|o__Syntrophales,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Syntrophia|o__Syntrophales,LEfSe,PFU,2.329100537,9.67E-09,2.96E-07,***
k__Archaea|p__Euryarchaeota|p__Archaea_Euryarchaeota|c__Thermococci,PFU - Water,k__Archaea|p__Euryarchaeota|p__Archaea_Euryarchaeota|c__Thermococci,LEfSe,PFU,2.328006274,1.67E-05,0.000137693,***
k__Archaea|p__Euryarchaeota|p__Archaea_Euryarchaeota|c__Thermococci|o__Methanofastidiosales,PFU - Water,k__Archaea|p__Euryarchaeota|p__Archaea_Euryarchaeota|c__Thermococci|o__Methanofastidiosales,LEfSe,PFU,2.328006274,1.67E-05,0.000137693,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Roseomonas,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Roseomonas,LEfSe,PFU,2.324131071,0.000541068,0.002685231,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Holosporales,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Holosporales,LEfSe,PFU,2.319573961,7.48E-06,7.08E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae,LEfSe,PFU,2.319573961,7.48E-06,7.08E-05,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Branchiopoda|g__Acantholeberis,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Branchiopoda|g__Acantholeberis,LEfSe,Water,2.317353044,0.00021114,0.001219521,**
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Branchiopoda|g__Acantholeberis|s__Acantholeberis_curvirostris,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Branchiopoda|g__Acantholeberis|s__Acantholeberis_curvirostris,LEfSe,Water,2.317353044,0.00021114,0.001219521,**
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Cercomonadida|f__Paracercomonadidae,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Cercomonadida|f__Paracercomonadidae,LEfSe,PFU,2.315805314,0.001722657,0.006971304,**
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Cercomonadida|f__Paracercomonadidae|g__Paracercomonas,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Cercomonadida|f__Paracercomonadidae|g__Paracercomonas,LEfSe,PFU,2.315805314,0.001722657,0.006971304,**
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Nitzschia palea,PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Nitzschia palea,LEfSe,PFU,2.313796753,9.85E-06,8.73E-05,***
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Nitzschia palea|g__Nitzschia palea_X sp.,PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Nitzschia palea|g__Nitzschia palea_X sp.,LEfSe,PFU,2.313796753,9.85E-06,8.73E-05,***
k__Archaea|p__Halobacterota|p__Archaea_Halobacterota|c__Methanosarcinia,PFU - Water,k__Archaea|p__Halobacterota|p__Archaea_Halobacterota|c__Methanosarcinia,LEfSe,PFU,2.311706006,9.90E-07,1.25E-05,***
k__Archaea|p__Halobacterota|p__Archaea_Halobacterota|c__Methanosarcinia|o__Methanosarciniales,PFU - Water,k__Archaea|p__Halobacterota|p__Archaea_Halobacterota|c__Methanosarcinia|o__Methanosarciniales,LEfSe,PFU,2.311706006,9.90E-07,1.25E-05,***
k__Eukaryota|p__Opisthokonta_X,PFU - Water,k__Eukaryota|p__Opisthokonta_X,LEfSe,PFU,2.308971655,0.000163229,0.000961698,***
k__Eukaryota|p__Opisthokonta_X|p__Eukaryota_Opisthokonta_X,PFU - Water,k__Eukaryota|p__Opisthokonta_X|p__Eukaryota_Opisthokonta_X,LEfSe,PFU,2.308971655,0.000163229,0.000961698,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Euglenida|o__Euglenida_X|f__Peranemidae,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Euglenida|o__Euglenida_X|f__Peranemidae,LEfSe,PFU,2.307886275,8.40E-11,8.42E-09,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Euglenida|o__Euglenida_X|f__Peranemidae|g__Peranema,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Euglenida|o__Euglenida_X|f__Peranemidae|g__Peranema,LEfSe,PFU,2.307886275,8.40E-11,8.42E-09,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Euglenida|o__Euglenida_X|f__Peranemidae|g__Peranema|s__Peranema_trichophorum,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Euglenida|o__Euglenida_X|f__Peranemidae|g__Peranema|s__Peranema_trichophorum,LEfSe,PFU,2.307886275,8.40E-11,8.42E-09,***
