,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta,LEfSe,PFU,3.755282415,6.07E-06,5.98E-05,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,LEfSe,Water,3.679942314,4.27E-06,4.37E-05,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,LEfSe,Water,3.678885728,4.58E-06,4.62E-05,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales,LEfSe,Water,3.673998815,8.01E-06,7.50E-05,***
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Triticum aestivum (bread wheat),PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Triticum aestivum (bread wheat),LEfSe,PFU,3.654301771,1.67E-06,1.91E-05,***
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Triticum aestivum (bread wheat)|g__Triticum aestivum (bread wheat)_X sp.,PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Triticum aestivum (bread wheat)|g__Triticum aestivum (bread wheat)_X sp.,LEfSe,PFU,3.654301771,1.67E-06,1.91E-05,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea,LEfSe,PFU,3.630773669,4.88E-08,1.03E-06,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2,LEfSe,PFU,3.545300848,1.05E-05,9.24E-05,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2|f__Sessilida,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2|f__Sessilida,LEfSe,PFU,3.545300848,1.05E-05,9.24E-05,***
k__Bacteria|p__Acidobacteriota,PFU - Water,k__Bacteria|p__Acidobacteriota,LEfSe,PFU,3.527482765,2.49E-08,6.00E-07,***
k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota,PFU - Water,k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota,LEfSe,PFU,3.527482765,2.49E-08,6.00E-07,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Clostridia,LEfSe,Water,3.517068823,4.49E-05,0.000325196,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Branchiopoda,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Arthropoda|o__Crustacea|f__Branchiopoda,LEfSe,Water,3.515125646,2.49E-08,6.00E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha,LEfSe,PFU,3.513106008,8.86E-09,2.83E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X,LEfSe,PFU,3.513106008,8.86E-09,2.83E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X|f__Gastrotricha_XX,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Gastrotricha|o__Gastrotricha_X|f__Gastrotricha_XX,LEfSe,PFU,3.513106008,8.86E-09,2.83E-07,***
k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae|g__CL500-3,PFU - Water,k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae|g__CL500-3,LEfSe,Water,3.493365858,8.93E-05,0.00058067,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,LEfSe,Water,3.488081379,2.87E-11,6.03E-09,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales,LEfSe,PFU,3.481592679,5.77E-11,6.36E-09,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae,LEfSe,PFU,3.481592679,5.77E-11,6.36E-09,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Thermoleophilia,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Thermoleophilia,LEfSe,Water,3.46668857,1.55E-06,1.81E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae,LEfSe,PFU,3.463491676,0.00256114,0.009780715,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__|f__|g__Acidibacter,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__|f__|g__Acidibacter,LEfSe,Water,3.454884252,9.44E-11,9.25E-09,***
k__Eukaryota|p__Euglenozoa,PFU - Water,k__Eukaryota|p__Euglenozoa,LEfSe,PFU,3.447418834,5.77E-11,6.36E-09,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa,LEfSe,PFU,3.447418834,5.77E-11,6.36E-09,***
k__Eukaryota|p__Cryptophyta,PFU - Water,k__Eukaryota|p__Cryptophyta,LEfSe,Water,3.429890453,1.38E-05,0.000115611,***
k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta,PFU - Water,k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta,LEfSe,Water,3.429890453,1.38E-05,0.000115611,***
k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae,PFU - Water,k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae,LEfSe,Water,3.429890453,1.38E-05,0.000115611,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Sphingobacteriales,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Sphingobacteriales,LEfSe,Water,3.399575836,2.28E-07,3.69E-06,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae,LEfSe,Water,3.397968049,4.88E-08,1.03E-06,***
k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae|o__Cryptomonadales,PFU - Water,k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae|o__Cryptomonadales,LEfSe,Water,3.376591539,6.07E-06,5.98E-05,***
k__Bacteria|p__Desulfobacterota,PFU - Water,k__Bacteria|p__Desulfobacterota,LEfSe,PFU,3.356375594,4.88E-08,1.03E-06,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota,LEfSe,PFU,3.356375594,4.88E-08,1.03E-06,***
k__Bacteria|p__Myxococcota,PFU - Water,k__Bacteria|p__Myxococcota,LEfSe,PFU,3.351986128,4.79E-05,0.000343137,***
k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota,PFU - Water,k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota,LEfSe,PFU,3.351986128,4.79E-05,0.000343137,***
