,Kingdom,Phylum1,Phylum,Class,Order,Family,Genus,Species
CJ_k141_34019,Bacteria,Gemmatimonadota,Bacteria_Gemmatimonadota,C__Gemmatimonadetes,O__Gemmatimonadales,F__Gemmatimonadaceae,G__uncultured,S__
CJ_k141_34041,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Gammaproteobacteria,O__Enterobacterales,F__Morganellaceae,G__Arsenophonus,S__
CJ_k141_34042,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Gammaproteobacteria,O__Nitrosococcales,F__Methylophagaceae,G__uncultured,S__
CJ_k141_34046,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Bacteroidales,F__Bacteroidaceae,G__Bacteroides,S__
CJ_k141_34053,Bacteria,Patescibacteria,Bacteria_Patescibacteria,C__Dojkabacteria,O__candidate division WS6 bacterium GW2011_GWC2_36_7,F__candidate division WS6 bacterium GW2011_GWC2_36_7_X,G__candidate division WS6 bacterium GW2011_GWC2_36_7_XX sp.,S__
CJ_k141_34056,Bacteria,Verrucomicrobiota,Bacteria_Verrucomicrobiota,C__Omnitrophia,O__Omnitrophales,F__Omnitrophaceae,G__Candidatus Omnitrophus,S__
CJ_k141_34064,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Gammaproteobacteria,O__Burkholderiales,F__Neisseriaceae,G__Neisseria,S__
CJ_k141_34077,Bacteria,Bacteroidota,Bacteria_Bacteroidota,C__Bacteroidia,O__Sphingobacteriales,F__env.OPS 17,G__uncultured bacterium,S__
CJ_k141_34079,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Gammaproteobacteria,O__Enterobacterales,F__Enterobacteriaceae,G__Klebsiella,S__
CJ_k141_34080,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Gammaproteobacteria,O__Enterobacterales,F__Enterobacteriaceae,G__Klebsiella,S__
CJ_k141_34093,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Gammaproteobacteria,O__Enterobacterales,F__Enterobacteriaceae,G__Klebsiella,S__
CJ_k141_34097,Bacteria,Proteobacteria,Bacteria_Proteobacteria,C__Alphaproteobacteria,O__Paracaedibacterales,F__Paracaedibacteraceae,G__Candidatus Paracaedibacter,S__
