,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter,LEfSe,Water,2.639941691,1.69E-10,1.43E-08,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Oligohymenophorea_X,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Oligohymenophorea_X,LEfSe,PFU,2.637059429,0.000260456,0.001458039,**
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae|g__SH3-11,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae|g__SH3-11,LEfSe,Water,2.631876385,2.68E-05,0.000208216,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Oligohymenophorea_X|f__Oligohymenophorea_XX,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Oligohymenophorea_X|f__Oligohymenophorea_XX,LEfSe,PFU,2.619613438,0.000245857,0.001385217,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Limnobacter,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Limnobacter,LEfSe,Water,2.612671933,1.77E-08,4.65E-07,***
k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota|c__Polyangia|o__Polyangiales|f__Sandaracinaceae,PFU - Water,k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota|c__Polyangia|o__Polyangiales|f__Sandaracinaceae,LEfSe,PFU,2.610325424,1.95E-07,3.19E-06,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Tintinnida|f__Tintinnidiidae,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Tintinnida|f__Tintinnidiidae,LEfSe,Water,2.606874535,6.80E-08,1.31E-06,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Tintinnida|f__Tintinnidiidae|g__Tintinnidium,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Tintinnida|f__Tintinnidiidae|g__Tintinnidium,LEfSe,Water,2.606874535,6.80E-08,1.31E-06,***
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Coscinodiscus radiatus,PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Coscinodiscus radiatus,LEfSe,Water,2.601136924,8.93E-05,0.00058067,***
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Coscinodiscus radiatus|g__Coscinodiscus radiatus_X sp.,PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Coscinodiscus radiatus|g__Coscinodiscus radiatus_X sp.,LEfSe,Water,2.601136924,8.93E-05,0.00058067,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Microscillaceae|g__Hassallia,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Microscillaceae|g__Hassallia,LEfSe,PFU,2.599424844,0.000327125,0.001753819,**
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Anoecales|f__Cafeteriaceae|g__Cafeteria|s__Cafeteria_burkhardae,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Anoecales|f__Cafeteriaceae|g__Cafeteria|s__Cafeteria_burkhardae,LEfSe,PFU,2.598987897,3.76E-07,5.60E-06,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Anoecales,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Anoecales,LEfSe,PFU,2.595942353,4.35E-06,4.42E-05,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Anoecales|f__Cafeteriaceae,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Anoecales|f__Cafeteriaceae,LEfSe,PFU,2.595942353,4.35E-06,4.42E-05,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Anoecales|f__Cafeteriaceae|g__Cafeteria,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Anoecales|f__Cafeteriaceae|g__Cafeteria,LEfSe,PFU,2.595942353,4.35E-06,4.42E-05,***
k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Gracilibacteria,PFU - Water,k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Gracilibacteria,LEfSe,PFU,2.592589977,3.26E-05,0.000245249,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Choreotrichida,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Choreotrichida,LEfSe,Water,2.592211865,2.49E-08,6.00E-07,***
k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Parcubacteria|o__Candidatus Kaiserbacteria|f__Parcubacteria bacterium OLB19,PFU - Water,k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Parcubacteria|o__Candidatus Kaiserbacteria|f__Parcubacteria bacterium OLB19,LEfSe,PFU,2.589896587,2.03E-05,0.000163199,***
k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Parcubacteria|o__Candidatus Kaiserbacteria|f__Parcubacteria bacterium OLB19|g__Parcubacteria bacterium OLB19_X sp.,PFU - Water,k__Bacteria|p__Patescibacteria|p__Bacteria_Patescibacteria|c__Parcubacteria|o__Candidatus Kaiserbacteria|f__Parcubacteria bacterium OLB19|g__Parcubacteria bacterium OLB19_X sp.,LEfSe,PFU,2.589896587,2.03E-05,0.000163199,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__|f__Aphanizomenon flos-aquae WA102,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__|f__Aphanizomenon flos-aquae WA102,LEfSe,Water,2.58934754,1.62E-09,8.02E-08,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__|f__Aphanizomenon flos-aquae WA102|g__Aphanizomenon flos-aquae WA102_X sp.,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__|f__Aphanizomenon flos-aquae WA102|g__Aphanizomenon flos-aquae WA102_X sp.,LEfSe,Water,2.58934754,1.62E-09,8.02E-08,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae,LEfSe,PFU,2.589209197,2.20E-05,0.000174713,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Chrysophyceae|o__Chrysophyceae_X|f__Chrysophyceae_Clade-F,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Chrysophyceae|o__Chrysophyceae_X|f__Chrysophyceae_Clade-F,LEfSe,PFU,2.58397377,4.79E-05,0.000343137,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Choreotrichida|f__Strobilidiidae_C,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Choreotrichida|f__Strobilidiidae_C,LEfSe,Water,2.579963623,4.13E-08,9.02E-07,***
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Choreotrichida|f__Strobilidiidae_C|g__Strobilidiidae_C_X,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Spirotrichea|o__Choreotrichida|f__Strobilidiidae_C|g__Strobilidiidae_C_X,LEfSe,Water,2.579963623,4.13E-08,9.02E-07,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella,LEfSe,PFU,2.575706749,0.001405906,0.005828622,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Nitrosococcales,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Nitrosococcales,LEfSe,PFU,2.568962953,1.77E-08,4.65E-07,***
k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Pirellula,PFU - Water,k__Bacteria|p__Planctomycetota|p__Bacteria_Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Pirellula,LEfSe,PFU,2.567872568,1.48E-05,0.000122956,***
k__Bacteria|p__Sva0485,PFU - Water,k__Bacteria|p__Sva0485,LEfSe,PFU,2.566554021,9.67E-09,2.96E-07,***
k__Bacteria|p__Sva0485|p__Bacteria_Sva0485,PFU - Water,k__Bacteria|p__Sva0485|p__Bacteria_Sva0485,LEfSe,PFU,2.566554021,9.67E-09,2.96E-07,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Neobodonida,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Neobodonida,LEfSe,PFU,2.564323871,6.26E-08,1.24E-06,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfuromonadia|o__Geobacterales,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfuromonadia|o__Geobacterales,LEfSe,PFU,2.563291671,1.29E-05,0.000110371,***
k__Eukaryota|p__Stramenopiles_X|p__Eukaryota_Stramenopiles_X|c__Stramenopiles_X-Group-3,PFU - Water,k__Eukaryota|p__Stramenopiles_X|p__Eukaryota_Stramenopiles_X|c__Stramenopiles_X-Group-3,LEfSe,PFU,2.560165302,4.22E-05,0.000310217,***
k__Eukaryota|p__Stramenopiles_X|p__Eukaryota_Stramenopiles_X|c__Stramenopiles_X-Group-3|o__Stramenopiles_X-Group-3_X,PFU - Water,k__Eukaryota|p__Stramenopiles_X|p__Eukaryota_Stramenopiles_X|c__Stramenopiles_X-Group-3|o__Stramenopiles_X-Group-3_X,LEfSe,PFU,2.560165302,4.22E-05,0.000310217,***
k__Eukaryota|p__Stramenopiles_X|p__Eukaryota_Stramenopiles_X|c__Stramenopiles_X-Group-3|o__Stramenopiles_X-Group-3_X|f__Stramenopiles_X-Group-3_XX,PFU - Water,k__Eukaryota|p__Stramenopiles_X|p__Eukaryota_Stramenopiles_X|c__Stramenopiles_X-Group-3|o__Stramenopiles_X-Group-3_X|f__Stramenopiles_X-Group-3_XX,LEfSe,PFU,2.560165302,4.22E-05,0.000310217,***
k__Eukaryota|p__Stramenopiles_X|p__Eukaryota_Stramenopiles_X|c__Stramenopiles_X-Group-3|o__Stramenopiles_X-Group-3_X|f__Stramenopiles_X-Group-3_XX|g__Stramenopiles_X-Group-3_XXX,PFU - Water,k__Eukaryota|p__Stramenopiles_X|p__Eukaryota_Stramenopiles_X|c__Stramenopiles_X-Group-3|o__Stramenopiles_X-Group-3_X|f__Stramenopiles_X-Group-3_XX|g__Stramenopiles_X-Group-3_XXX,LEfSe,PFU,2.560165302,4.22E-05,0.000310217,***
k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Acidobacteriae|o__Paludibaculum,PFU - Water,k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Acidobacteriae|o__Paludibaculum,LEfSe,PFU,2.557446938,9.19E-06,8.35E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Azospirillales|f__Azospirillaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Azospirillales|f__Azospirillaceae,LEfSe,PFU,2.555860546,0.001085563,0.004798472,**
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Bicoecales|f__Bicoecaceae|g__Bicoecaceae_X,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Bicoecales|f__Bicoecaceae|g__Bicoecaceae_X,LEfSe,PFU,2.548595926,1.80E-07,2.98E-06,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae,LEfSe,Water,2.547898735,0.000107275,0.000673448,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales,LEfSe,PFU,2.539750508,0.001030215,0.004572165,**
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae|g__Oikopleura,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae|g__Oikopleura,LEfSe,PFU,2.530754409,4.00E-09,1.55E-07,***
k__Eukaryota|p__Stramenopiles_X,PFU - Water,k__Eukaryota|p__Stramenopiles_X,LEfSe,PFU,2.530468413,0.000458482,0.002338578,**
k__Eukaryota|p__Stramenopiles_X|p__Eukaryota_Stramenopiles_X,PFU - Water,k__Eukaryota|p__Stramenopiles_X|p__Eukaryota_Stramenopiles_X,LEfSe,PFU,2.530468413,0.000458482,0.002338578,**
k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Thermoanaerobaculia,PFU - Water,k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Thermoanaerobaculia,LEfSe,PFU,2.529090838,9.19E-06,8.35E-05,***
k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales,PFU - Water,k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales,LEfSe,PFU,2.529090838,9.19E-06,8.35E-05,***
k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae,PFU - Water,k__Bacteria|p__Acidobacteriota|p__Bacteria_Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae,LEfSe,PFU,2.529090838,9.19E-06,8.35E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae|g__Ellin6067,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae|g__Ellin6067,LEfSe,PFU,2.528406007,7.48E-06,7.08E-05,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Eubodonida|f__Bodonidae|g__Bodo|s__Bodo_edax,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Eubodonida|f__Bodonidae|g__Bodo|s__Bodo_edax,LEfSe,PFU,2.527747618,1.79E-06,2.02E-05,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Conexibacter,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Conexibacter,LEfSe,Water,2.524621355,0.000136524,0.00083797,***
k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida,PFU - Water,k__Eukaryota|p__Cercozoa|p__Eukaryota_Cercozoa|c__Filosa-Sarcomonadea|o__Glissomonadida,LEfSe,PFU,2.523224035,2.68E-07,4.17E-06,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfuromonadia|o__Geobacterales|f__Geobacteraceae,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfuromonadia|o__Geobacterales|f__Geobacteraceae,LEfSe,PFU,2.516038717,7.90E-05,0.000527443,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfobacteria|o__Desulfobacterales,LEfSe,PFU,2.51292696,6.41E-10,3.87E-08,***
k__Archaea|p__Halobacterota|p__Archaea_Halobacterota|c__Methanomicrobia,PFU - Water,k__Archaea|p__Halobacterota|p__Archaea_Halobacterota|c__Methanomicrobia,LEfSe,PFU,2.512528926,8.58E-06,7.95E-05,***
k__Archaea|p__Halobacterota|p__Archaea_Halobacterota|c__Methanomicrobia|o__Methanomicrobiales,PFU - Water,k__Archaea|p__Halobacterota|p__Archaea_Halobacterota|c__Methanomicrobia|o__Methanomicrobiales,LEfSe,PFU,2.512528926,8.58E-06,7.95E-05,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,LEfSe,PFU,2.511939987,0.000292126,0.001617336,**
k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Tubulinea,PFU - Water,k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Tubulinea,LEfSe,PFU,2.504058111,7.32E-07,9.71E-06,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__MAST-12,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__MAST-12,LEfSe,Water,2.496875799,7.43E-05,0.00050267,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Euglenida|o__Euglenida_X,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Euglenida|o__Euglenida_X,LEfSe,PFU,2.495968079,5.20E-11,6.36E-09,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Chrysophyceae|o__Chrysophyceae_X|f__Chrysophyceae_Clade-F|g__Paraphysomonas,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Chrysophyceae|o__Chrysophyceae_X|f__Chrysophyceae_Clade-F|g__Paraphysomonas,LEfSe,PFU,2.495728003,2.40E-06,2.60E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Paracaedibacterales,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Paracaedibacterales,LEfSe,PFU,2.494905628,2.98E-06,3.16E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Paracaedibacterales|f__Paracaedibacteraceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Alphaproteobacteria|o__Paracaedibacterales|f__Paracaedibacteraceae,LEfSe,PFU,2.494905628,2.98E-06,3.16E-05,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Kinetoplastea_X|f__Kinetoplastea_XX|g__Kinetoplastea_XX_MET3,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea|o__Kinetoplastea_X|f__Kinetoplastea_XX|g__Kinetoplastea_XX_MET3,LEfSe,PFU,2.491088088,1.53E-07,2.67E-06,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia,LEfSe,Water,2.486383282,0.002103893,0.008263687,**
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Ahniella,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Ahniella,LEfSe,PFU,2.48458232,6.26E-08,1.24E-06,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Platyhelminthes|o__Turbellaria|f__Catenulida,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Platyhelminthes|o__Turbellaria|f__Catenulida,LEfSe,PFU,2.482764838,2.09E-08,5.33E-07,***
k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Platyhelminthes|o__Turbellaria|f__Catenulida|g__Stenostomum,PFU - Water,k__Eukaryota|p__Metazoa|p__Eukaryota_Metazoa|c__Platyhelminthes|o__Turbellaria|f__Catenulida|g__Stenostomum,LEfSe,PFU,2.482764838,2.09E-08,5.33E-07,***
k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia,PFU - Water,k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia,LEfSe,PFU,2.48269104,1.62E-09,8.02E-08,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Nitrosococcales|f__Nitrosococcaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Nitrosococcales|f__Nitrosococcaceae,LEfSe,PFU,2.480724525,3.34E-09,1.35E-07,***
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Cylindrotheca closterium,PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Cylindrotheca closterium,LEfSe,PFU,2.478542632,1.66E-07,2.84E-06,***
k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Cylindrotheca closterium|g__Cylindrotheca closterium_X sp.,PFU - Water,k__Bacteria|p__Cyanobacteria|p__Bacteria_Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Cylindrotheca closterium|g__Cylindrotheca closterium_X sp.,LEfSe,PFU,2.478542632,1.66E-07,2.84E-06,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Pseudodendromonadales,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Pseudodendromonadales,LEfSe,Water,2.474476692,4.40E-10,2.90E-08,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Pseudodendromonadales|f__Pseudodendromonadales_X,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta|c__Bicoecea|o__Pseudodendromonadales|f__Pseudodendromonadales_X,LEfSe,Water,2.474476692,4.40E-10,2.90E-08,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae|g__Neisseria,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae|g__Neisseria,LEfSe,PFU,2.471388798,0.000107275,0.000673448,***
k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__Opitutus,PFU - Water,k__Bacteria|p__Verrucomicrobiota|p__Bacteria_Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__Opitutus,LEfSe,Water,2.467434704,5.66E-06,5.61E-05,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfuromonadia|o__Desulfuromonadales,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota|c__Desulfuromonadia|o__Desulfuromonadales,LEfSe,PFU,2.457395532,0.001268535,0.005438163,**
k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia|o__Dactylopodida,PFU - Water,k__Eukaryota|p__Discosea|p__Eukaryota_Discosea|c__Discosea-Flabellinia|o__Dactylopodida,LEfSe,PFU,2.452881393,1.53E-10,1.35E-08,***
k__Eukaryota|p__Streptophyta|p__Eukaryota_Streptophyta|c__Embryophyceae|o__Embryophyceae_X|f__Embryophyceae_XX|g__Phaseolus,PFU - Water,k__Eukaryota|p__Streptophyta|p__Eukaryota_Streptophyta|c__Embryophyceae|o__Embryophyceae_X|f__Embryophyceae_XX|g__Phaseolus,LEfSe,Water,2.449955533,9.50E-05,0.000606589,***
k__Eukaryota|p__Streptophyta|p__Eukaryota_Streptophyta|c__Embryophyceae|o__Embryophyceae_X|f__Embryophyceae_XX|g__Phaseolus|s__Phaseolus_acutifolius,PFU - Water,k__Eukaryota|p__Streptophyta|p__Eukaryota_Streptophyta|c__Embryophyceae|o__Embryophyceae_X|f__Embryophyceae_XX|g__Phaseolus|s__Phaseolus_acutifolius,LEfSe,Water,2.449955533,9.50E-05,0.000606589,***
