,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina|f__Saccharomycetales,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina|f__Saccharomycetales,LEfSe,PFU,3.890671918,1.67E-06,1.91E-05,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina,LEfSe,PFU,3.890486384,1.79E-06,2.02E-05,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina|f__Saccharomycetales|g__Candida,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina|f__Saccharomycetales|g__Candida,LEfSe,PFU,3.890055856,1.67E-06,1.91E-05,***
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina|f__Saccharomycetales|g__Candida|s__Candida_orthopsilosis,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Saccharomycotina|f__Saccharomycetales|g__Candida|s__Candida_orthopsilosis,LEfSe,PFU,3.890055856,1.67E-06,1.91E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,LEfSe,PFU,3.840274653,0.001204598,0.005219924,**
k__Eukaryota|p__Ochrophyta,PFU - Water,k__Eukaryota|p__Ochrophyta,LEfSe,PFU,3.734522583,6.07E-06,5.98E-05,***
k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta,PFU - Water,k__Eukaryota|p__Ochrophyta|p__Eukaryota_Ochrophyta,LEfSe,PFU,3.734522583,6.07E-06,5.98E-05,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,LEfSe,Water,3.668400614,4.27E-06,4.37E-05,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,LEfSe,Water,3.66717531,4.58E-06,4.62E-05,***
k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales,PFU - Water,k__Bacteria|p__Firmicutes|p__Bacteria_Firmicutes|c__Bacilli|o__Lactobacillales,LEfSe,Water,3.662488828,8.01E-06,7.50E-05,***
