bray,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,DW11,DW12,DW13,DW14,DW15,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15
DW10,0.366471068,0.398984769,0.447823754,0.505318376,0.501481202,0.513764679,0.516509491,0.515491041,0.502727151,0.561433881,0.501838254,0.523345353,0.497799077,0.454027272,0.485264041,0.24995573,0.21566433,0.222252998,0.186517573,0.190400237,0.189169201,0.126884491,0.161616195,0.235256696,0,0.13699836,0.148423024,0.156251286,0.162824527,0.130915643,0.581332523,0.583971763,0.602608565,0.578243015,0.581691427,0.576025167,0.562741919,0.533060266,0.546699323,0.58180801,0.592496333,0.577727344,0.609633763,0.615128914,0.620723133,0.430594293,0.443833191,0.444509228,0.449598576,0.453285332,0.461255857,0.448847167,0.448069419,0.447571488,0.524142056,0.526277585,0.544077176,0.548387776,0.534268957,0.543543484
DW11,0.328565934,0.362183417,0.401342838,0.479198673,0.478823838,0.488649635,0.485475427,0.485279391,0.471808942,0.537591404,0.47742786,0.498985514,0.474983382,0.430533443,0.459735394,0.191845921,0.139730522,0.159589771,0.121617141,0.111037787,0.121347423,0.109072039,0.090492519,0.145684146,0.13699836,0,0.073938509,0.122924906,0.122985146,0.127691831,0.556889405,0.559495026,0.584489113,0.557954032,0.563063894,0.564249365,0.56309846,0.524954918,0.542598835,0.570628689,0.579188675,0.573422846,0.605909695,0.626088492,0.619433788,0.460750224,0.466593446,0.457119704,0.459945734,0.475252436,0.471448045,0.482024419,0.485223089,0.477996299,0.513639876,0.52049047,0.528454843,0.575524832,0.560675193,0.567580496
DW12,0.324027948,0.355085855,0.390704078,0.467253976,0.467812983,0.475307094,0.471261118,0.470873597,0.456493996,0.523653748,0.468397325,0.485194562,0.461182949,0.416336978,0.444008088,0.18126309,0.140855396,0.155056098,0.106776831,0.114471801,0.115190139,0.129943123,0.103040877,0.131892975,0.148423024,0.073938509,0,0.129273287,0.135591788,0.132321757,0.550448561,0.550741383,0.575798967,0.551126779,0.55970425,0.557360638,0.562962305,0.52098566,0.541064188,0.565892978,0.574251345,0.568729267,0.603517707,0.626325967,0.616359696,0.452228674,0.461454577,0.452891219,0.45580518,0.473783632,0.466581721,0.478858746,0.47761687,0.472436384,0.503091917,0.509944641,0.512329231,0.57356205,0.559453447,0.565964287
DW13,0.324999356,0.366978773,0.413197163,0.48981841,0.488490888,0.498681084,0.493593607,0.495255761,0.482109244,0.543257596,0.492884806,0.507741335,0.483362672,0.439000364,0.466620566,0.192105541,0.146762554,0.162641028,0.146149613,0.146148493,0.15194964,0.126281672,0.126094577,0.190609716,0.156251286,0.122924906,0.129273287,0,0.072153556,0.074999217,0.567998084,0.573911199,0.595763575,0.576347962,0.582050516,0.576542764,0.572462729,0.542993488,0.555671387,0.582765379,0.58996386,0.584070854,0.619434668,0.632376116,0.632300696,0.470939412,0.4734115,0.472419541,0.471770404,0.483922801,0.481395695,0.493014299,0.495804419,0.489505711,0.525084502,0.530400392,0.537792624,0.582569986,0.56879059,0.574432969
DW14,0.330355983,0.368363742,0.414176026,0.488658591,0.486211279,0.498212791,0.492371704,0.492132926,0.480774068,0.541836218,0.49207738,0.506498177,0.480097428,0.436211152,0.46426724,0.202061577,0.151722974,0.172095133,0.151027909,0.140816194,0.15258664,0.123530618,0.117597994,0.189718677,0.162824527,0.122985146,0.135591788,0.072153556,0,0.076650756,0.567322879,0.572145167,0.594159206,0.575035272,0.579368129,0.577380053,0.573631629,0.539791294,0.55533982,0.579391991,0.588474472,0.582733511,0.617637739,0.631975302,0.630962105,0.470663946,0.472876117,0.469741348,0.471914229,0.485279531,0.481798761,0.491982584,0.494459731,0.488146459,0.527744445,0.533505731,0.541593428,0.584206696,0.568318823,0.574995666
DW15,0.335682441,0.373277122,0.420484069,0.486918037,0.483742882,0.496907846,0.491606901,0.490086321,0.480367916,0.534856485,0.488230701,0.502245501,0.477706986,0.434614591,0.46221662,0.209071818,0.163228896,0.181263545,0.152792715,0.14920291,0.157844661,0.124216958,0.131036042,0.200030479,0.130915643,0.127691831,0.132321757,0.074999217,0.076650756,0,0.571260531,0.575101041,0.594247872,0.57509446,0.579463955,0.574347355,0.560890436,0.53634396,0.547045852,0.576797814,0.586285904,0.576071597,0.610552794,0.620148112,0.623630438,0.44412541,0.45129241,0.449875408,0.454648665,0.461972007,0.462611908,0.466277293,0.468119447,0.461349251,0.51627745,0.520417958,0.532479487,0.562628036,0.5477562,0.554892417
CP1,0.457976306,0.444124363,0.437925055,0.478253987,0.489946314,0.479542058,0.497455566,0.495849565,0.496847076,0.517532652,0.505557938,0.507783519,0.498478476,0.484142619,0.476604103,0.535389606,0.552533827,0.551377233,0.544100422,0.548917735,0.540743265,0.564980014,0.549761082,0.534044194,0.581332523,0.556889405,0.550448561,0.567998084,0.567322879,0.571260531,0,0.103646796,0.181816085,0.247902155,0.251342725,0.272123056,0.321304847,0.264348608,0.283263427,0.287458303,0.295833483,0.290262772,0.347221614,0.379117877,0.35471005,0.40615901,0.404407706,0.400269358,0.389816692,0.38628744,0.392953425,0.402041332,0.399709779,0.395619924,0.360831879,0.361407201,0.357062309,0.437149611,0.435225924,0.433414514
CP2,0.457362874,0.443145729,0.43656687,0.484311021,0.498228844,0.485932437,0.502471689,0.49852887,0.501174512,0.52353842,0.510594028,0.514565929,0.500270923,0.486254925,0.479950346,0.527586211,0.551548749,0.548296424,0.542201993,0.549408526,0.540694974,0.568285396,0.552618102,0.530638732,0.583971763,0.559495026,0.550741383,0.573911199,0.572145167,0.575101041,0.103646796,0,0.185850106,0.254047508,0.25338236,0.28520716,0.345211836,0.291538067,0.307423726,0.307189797,0.317345387,0.313004653,0.372384541,0.404171255,0.37697447,0.422641622,0.420105278,0.418282974,0.404897344,0.399546986,0.405569656,0.421634929,0.420152568,0.416943126,0.371334784,0.373223003,0.362165299,0.466086839,0.460778095,0.461749993
CP3,0.492808866,0.482781455,0.473950527,0.505768251,0.514602196,0.504918544,0.531373725,0.527431562,0.534404196,0.534471703,0.550361724,0.544677575,0.527067095,0.515015239,0.514875519,0.567265116,0.581140631,0.57773061,0.567049623,0.578418945,0.568404711,0.589919671,0.577688508,0.570293026,0.602608565,0.584489113,0.575798967,0.595763575,0.594159206,0.594247872,0.181816085,0.185850106,0,0.308286445,0.260603537,0.293193051,0.296677309,0.321831405,0.314700173,0.286276669,0.286581333,0.282435134,0.310548191,0.335670895,0.304031991,0.42420437,0.423178192,0.418788072,0.404698188,0.403976669,0.410372771,0.382534457,0.384805916,0.385112179,0.33882394,0.338714239,0.349061421,0.390084453,0.387516656,0.388967919
CP4,0.476548981,0.456302159,0.467112733,0.452680419,0.462206548,0.451075418,0.465271801,0.460196912,0.467895506,0.47371067,0.475505102,0.47318203,0.466275753,0.458806374,0.454816239,0.53350817,0.557890165,0.549471755,0.541056764,0.551070659,0.538777847,0.562193331,0.549982385,0.535650862,0.578243015,0.557954032,0.551126779,0.576347962,0.575035272,0.57509446,0.247902155,0.254047508,0.308286445,0,0.167618351,0.151957523,0.303383004,0.220809143,0.214103855,0.24897931,0.265543539,0.266121636,0.359277639,0.396591375,0.375521167,0.406440558,0.392990528,0.391061321,0.360027014,0.351109329,0.356380312,0.405747967,0.397865561,0.395488664,0.370376752,0.368983847,0.365220715,0.469383231,0.461241697,0.466179677
CP5,0.483194293,0.467891621,0.472392578,0.471739503,0.483625493,0.472622466,0.492200318,0.488952614,0.495192804,0.497144959,0.49700295,0.498613857,0.487922257,0.478838812,0.476373855,0.553903555,0.56410625,0.563640379,0.549311451,0.557705626,0.545586707,0.567599173,0.556773637,0.55445955,0.581691427,0.563063894,0.55970425,0.582050516,0.579368129,0.579463955,0.251342725,0.25338236,0.260603537,0.167618351,0,0.15871134,0.218172691,0.230051194,0.224327575,0.236138186,0.248065214,0.238101371,0.314671271,0.329128801,0.322423953,0.4030336,0.398517549,0.393421445,0.373314314,0.369826592,0.376327825,0.383127412,0.377443268,0.380037624,0.342904295,0.341438046,0.354045332,0.414070535,0.40809781,0.411170126
CP6,0.492298274,0.474870536,0.48942659,0.458203703,0.465604528,0.459413465,0.48747341,0.484175881,0.491132869,0.484817291,0.495252086,0.494052241,0.478983528,0.466810648,0.469815804,0.556655375,0.567798841,0.567147513,0.551254728,0.561284969,0.55032554,0.563229417,0.557550812,0.558327538,0.576025167,0.564249365,0.557360638,0.576542764,0.577380053,0.574347355,0.272123056,0.28520716,0.293193051,0.151957523,0.15871134,0,0.255210317,0.198953485,0.189021475,0.233105747,0.244468836,0.233962941,0.320423689,0.347662834,0.330709439,0.395633425,0.388223612,0.38596379,0.364746126,0.363906339,0.372482698,0.381329913,0.374680267,0.37535306,0.356718786,0.351089784,0.36248405,0.42217349,0.418452001,0.418459345
CP7,0.505148325,0.498686948,0.505525668,0.488969923,0.498807191,0.489490741,0.506800765,0.501072025,0.508752954,0.499456007,0.516528593,0.510068806,0.498193063,0.47794254,0.493438593,0.560360771,0.570896286,0.569893415,0.552280537,0.559603407,0.550528416,0.55646055,0.555745746,0.565742964,0.562741919,0.56309846,0.562962305,0.572462729,0.573631629,0.560890436,0.321304847,0.345211836,0.296677309,0.303383004,0.218172691,0.255210317,0,0.230107051,0.208853085,0.239995159,0.239167395,0.224453694,0.27088165,0.257002716,0.276241117,0.379794107,0.379451555,0.373628587,0.353153944,0.355336599,0.361252766,0.325165834,0.326748784,0.326498858,0.315623548,0.310966666,0.342343206,0.321172685,0.316871888,0.318266933
CP8,0.472750721,0.467071927,0.480002358,0.448742129,0.457449032,0.447935974,0.459951732,0.455496189,0.462034737,0.460572921,0.459038476,0.462187517,0.449892722,0.429108733,0.437854168,0.526042668,0.530318328,0.531738063,0.512374948,0.519214407,0.508022962,0.522843146,0.519100506,0.526491483,0.533060266,0.524954918,0.52098566,0.542993488,0.539791294,0.53634396,0.264348608,0.291538067,0.321831405,0.220809143,0.230051194,0.198953485,0.230107051,0,0.114992618,0.21822808,0.239872525,0.221297406,0.319824444,0.342745498,0.333472579,0.348118929,0.348508427,0.344470233,0.322243707,0.323732873,0.331885857,0.353955693,0.349359197,0.345579103,0.35497361,0.351984265,0.366901815,0.405979897,0.402112014,0.403526144
CP9,0.484015017,0.472573754,0.485992063,0.438393617,0.450264008,0.437795428,0.467623502,0.461197371,0.475903861,0.449168567,0.473374092,0.469266558,0.450160318,0.434561372,0.445254675,0.541550067,0.551550108,0.550038361,0.530658501,0.535695526,0.527350801,0.536298133,0.535277465,0.544415447,0.546699323,0.542598835,0.541064188,0.555671387,0.55533982,0.547045852,0.283263427,0.307423726,0.314700173,0.214103855,0.224327575,0.189021475,0.208853085,0.114992618,0,0.19932662,0.230475246,0.205722368,0.301119081,0.316738276,0.318858526,0.354451299,0.35133744,0.349259703,0.322417394,0.321165558,0.331002544,0.345195899,0.339956862,0.34002987,0.344886664,0.343062523,0.360208721,0.386869315,0.38261234,0.385829137
CP10,0.49548868,0.486850725,0.490483398,0.452529805,0.463225743,0.452293612,0.479630036,0.469597563,0.482850828,0.44794001,0.490262604,0.479122616,0.465344528,0.465635101,0.461344424,0.557140854,0.571173064,0.566639744,0.552735386,0.564665728,0.554257601,0.569898614,0.564920266,0.5635412,0.58180801,0.570628689,0.565892978,0.582765379,0.579391991,0.576797814,0.287458303,0.307189797,0.286276669,0.24897931,0.236138186,0.233105747,0.239995159,0.21822808,0.19932662,0,0.106972048,0.109193934,0.212340973,0.242816921,0.222024948,0.398891213,0.391196618,0.390880303,0.369307102,0.368806369,0.371083107,0.38146062,0.374633507,0.376208806,0.285972076,0.281512933,0.299869965,0.359114511,0.351206494,0.354261326
